chrom,pos,variant_id,effect_allele,beta,p_value
3,185518921,rs73061097,a,0.1293,3.144e-17
3,185506892,rs567009511,t,0.1286,4.679e-17
3,185513392,rs7651090,a,-0.1285,4.94e-17
3,185505787,rs542226752,t,0.1284,5.241e-17
3,185497635,rs4376068,a,-0.129,5.245e-17
3,185529080,rs1470579,a,-0.128,5.994e-17
3,185530290,rs6769511,t,-0.1279,6.383e-17
3,185526062,rs7630554,a,-0.1279,6.422e-17
3,185516807,rs73061095,t,-0.1277,7.101e-17
3,185508591,rs11927381,t,-0.1278,7.189e-17
3,185534482,rs76299787,a,0.128,7.661e-17
3,185514189,rs532360966,a,0.1276,7.696e-17
3,185520948,rs9854769,a,-0.1276,7.77e-17
3,185521126,rs7615045,a,-0.1276,7.775e-17
3,185510613,rs7633675,t,-0.1272,9.611e-17
3,185507299,rs11705729,a,-0.1272,9.666e-17
3,185506857,rs4389513,t,-0.1272,9.758e-17
3,185495320,rs552793933,a,0.1279,9.89e-17
3,185508029,rs141177858,t,0.1271,1.009e-16
10,114733456,rs12243578,t,0.1512,3.532e-16
3,185519107,rs76922886,a,0.1316,7.177e-16
3,185544309,rs142611765,a,0.1229,7.757e-16
3,185514421,rs150111048,a,-0.1312,1.264e-15
10,114736614,rs11196175,t,-0.1453,1.363e-15
3,185547917,rs114598740,t,0.1212,1.82e-15
3,185522447,rs568145753,a,0.1221,2.646e-14
3,185523370,rs66513933,t,-0.1221,2.661e-14
3,185513079,rs139376988,t,0.1212,3.828e-14
3,185512361,rs539885042,a,0.1212,3.897e-14
3,185510884,rs16860234,a,-0.1205,5.507e-14
3,185499057,rs6801848,c,-0.1172,1.296e-13
3,185524081,rs4686392,a,-0.116,1.622e-13
9,22134094,rs10811661,t,0.1664,2.587e-13
9,22132076,rs2383208,a,0.1567,1.669e-12
10,12261852,rs189718533,a,0.1392,2.611e-12
6,20679709,rs7756992,a,-0.118,3.348e-12
9,22132878,rs10965248,t,0.154,3.928e-12
10,114764959,rs12266632,c,-0.2396,4.554e-12
10,114759445,rs11196187,a,0.2402,4.875e-12
9,22132729,rs10965247,a,0.1536,4.94e-12
9,22132698,rs10965246,t,0.1536,5.021e-12
3,185518531,rs560165367,a,0.1174,6.294e-12
10,114803307,rs11196201,a,-0.2436,6.648e-12
6,20694884,rs543220689,t,0.1197,7.266e-12
6,20686996,rs62397647,a,0.1173,8.226e-12
10,94485211,rs2497306,a,-0.1093,8.634e-12
10,12260019,rs541539081,t,0.1297,8.796e-12
10,114752585,rs7911250,t,0.2474,8.798e-12
10,114760284,rs35801464,t,0.2372,8.935e-12
3,185487155,rs71320320,a,-0.1099,9.133e-12
10,94468643,rs61862780,t,-0.109,9.546e-12
6,20675792,rs192964533,a,0.1157,1.16e-11
10,94490174,rs2488075,t,-0.1088,1.164e-11
10,114749421,rs75933965,a,0.2486,1.314e-11
10,12261810,rs35674932,a,-0.1287,1.365e-11
3,185488303,rs528410723,a,0.1095,1.366e-11
20,42996184,rs6130599,c,0.1213,1.371e-11
10,94474097,rs10882105,a,-0.1035,1.523e-11
6,20682622,rs35612982,t,-0.1174,1.885e-11
10,94473629,rs10786053,a,-0.103,1.895e-11
10,94471595,rs56061746,t,-0.1031,1.997e-11
10,94485763,rs11597458,a,-0.1028,2.14e-11
10,94479107,rs1112718,a,0.1022,2.468e-11
10,94469980,rs11187144,t,0.1024,2.664e-11
10,94481917,rs187490707,a,-0.1013,3.032e-11
6,20688121,rs554482787,a,0.1139,3.038e-11
10,94482076,rs12780253,t,-0.1013,3.183e-11
20,43011563,rs532026200,t,0.1226,3.279e-11
10,12255657,rs2420887,t,0.1223,3.341e-11
6,20673880,rs7451008,t,-0.1128,3.362e-11
10,94470515,rs10882104,t,0.1018,3.447e-11
10,94468934,rs563632195,a,-0.1018,3.467e-11
10,94477870,rs11187145,t,-0.1011,3.754e-11
3,185490734,rs7648605,t,-0.1124,3.881e-11
10,114782287,rs11196192,t,-0.2272,3.937e-11
10,94477539,rs7898054,a,-0.101,3.994e-11
10,114779013,rs12762233,t,0.228,4.174e-11
6,20703952,rs6931514,a,-0.1126,4.354e-11
6,20715826,rs10946402,t,-0.1146,4.838e-11
20,42996110,rs144656808,c,0.1187,4.872e-11
6,20717404,rs10946403,a,-0.1142,5.07e-11
3,185468884,rs62289125,t,0.1085,5.339e-11
3,185506003,rs11716491,t,-0.1113,5.407e-11
10,12255175,rs2997287,c,0.1234,5.453e-11
10,114781863,rs12258274,t,-0.2264,5.519e-11
6,20716570,rs2328547,a,-0.1141,5.64e-11
3,185506401,rs73061075,a,-0.1109,6.099e-11
3,185510118,rs7619401,t,0.1108,6.431e-11
6,20717095,rs6935599,a,-0.1134,6.719e-11
20,43003122,rs187401662,a,0.1204,6.752e-11
3,185510412,rs200710415,a,0.1106,6.846e-11
3,185520732,rs6767577,a,-0.1106,7.091e-11
3,185490240,rs13073992,t,-0.1109,7.17e-11
6,20714466,rs6456371,t,-0.1133,7.173e-11
3,185497293,rs4973727,t,0.1109,7.438e-11
10,94467145,rs11187141,a,0.1,7.454e-11
3,185525199,rs13060777,a,-0.1104,7.735e-11
20,42994812,rs12625671,t,-0.117,9.686e-11
3,185471910,rs113805683,t,-0.1066,9.874e-11
6,20717255,rs9465871,t,-0.1122,1.079e-10
3,185465763,rs143445484,t,0.1067,1.081e-10
10,114820191,rs12245680,t,-0.2153,1.097e-10
3,185530322,rs138960826,a,0.109,1.127e-10
3,185529327,rs1470581,a,-0.1089,1.198e-10
3,185478957,rs6799330,t,-0.1062,1.222e-10
3,185526895,rs4453875,t,-0.1088,1.249e-10
20,42999630,rs6103716,a,-0.1138,1.272e-10
3,185477746,rs80245617,t,-0.106,1.296e-10
10,94492716,rs536999224,t,0.1083,1.344e-10
3,185461291,rs578091637,t,-0.1065,1.43e-10
6,20694228,rs372086544,t,0.113,1.512e-10
10,94485621,rs142374659,t,0.1076,1.621e-10
3,185469491,rs12636310,a,-0.1038,1.622e-10
3,185503872,rs74976677,a,0.1202,1.708e-10
3,185480388,rs550549533,a,0.1038,1.714e-10
20,43001721,rs77656891,t,0.1186,1.738e-10
20,43012208,rs6073423,a,-0.1135,1.919e-10
20,42975023,rs571976008,c,0.1052,2.167e-10
6,20674691,rs73732735,t,0.111,2.406e-10
20,42982912,rs371333194,t,0.1041,2.876e-10
9,22136489,rs10811660,a,0.191,2.983e-10
10,114740617,rs7080591,t,0.101,3.462e-10
20,42993114,rs12480772,t,-0.1049,3.565e-10
10,12253597,rs544291870,a,0.1181,4.151e-10
3,185541213,rs147825594,t,0.1023,4.449e-10
8,118191475,rs35859536,t,-0.1119,4.63e-10
6,20713706,rs1040558,a,-0.1094,4.929e-10
10,12307894,rs77408028,t,0.1101,5.468e-10
3,12375956,rs2012444,t,-0.1467,5.779e-10
3,12365308,rs13083375,t,-0.1467,5.788e-10
3,12369401,rs13064760,t,-0.1467,5.799e-10
6,20705590,rs11753081,t,-0.1087,6.077e-10
3,12351521,rs35000407,t,0.1461,6.84e-10
10,12250620,rs7895525,t,-0.1139,7.228e-10
8,118185025,rs3802177,a,-0.1103,8.146e-10
3,12396913,rs71304101,a,-0.1425,8.735e-10
8,118204020,rs9650069,t,-0.1111,1.014e-09
3,12386337,rs4684847,t,-0.1415,1.09e-09
3,123094451,rs2877716,t,-0.1124,1.092e-09
3,185503873,rs112027529,a,0.1102,1.131e-09
8,118217915,rs4300038,a,-0.1099,1.185e-09
3,123093530,rs2124500,t,-0.1121,1.201e-09
3,12393125,rs1801282,c,0.1409,1.302e-09
3,185516602,rs552089228,c,0.1095,1.317e-09
3,123090360,rs34970607,a,-0.1119,1.334e-09
3,123095312,rs6798189,a,-0.1117,1.395e-09
3,123095543,rs56371916,t,0.1116,1.414e-09
10,12297230,rs12221275,t,-0.1394,1.422e-09
3,123093887,rs6794202,t,-0.1116,1.529e-09
3,123087916,rs35841686,a,-0.1117,1.56e-09
20,42989267,rs77980515,a,0.0999,1.566e-09
8,118185733,rs11558471,a,0.1081,1.581e-09
10,94466495,rs149060599,c,-0.0926,1.611e-09
10,12245520,rs2420731,a,0.1177,1.673e-09
6,20719145,rs9358357,a,-0.1058,1.702e-09
3,12344730,rs11712037,c,0.1419,1.731e-09
3,185545690,rs145669774,c,-0.0984,1.826e-09
3,185547319,rs6444084,a,-0.0984,1.84e-09
3,12329783,rs17036160,t,-0.1423,2.01e-09
6,20685486,rs9356744,t,-0.0983,2.026e-09
10,94466427,rs11187139,t,0.092,2.04e-09
20,42985717,rs535990953,a,0.0996,2.122e-09
3,12336507,rs11709077,a,-0.1409,2.253e-09
10,94466439,rs12219514,a,0.0918,2.423e-09
3,185538006,rs73063010,a,-0.108,2.585e-09
8,118209284,rs78046573,a,-0.1152,2.818e-09
10,114740745,rs7081062,a,0.0959,2.84e-09
20,42990953,rs77417744,a,0.0994,2.91e-09
10,114743961,rs7895307,a,-0.0953,3.441e-09
9,22136440,rs10965251,c,0.1006,3.583e-09
10,114737050,rs6585196,t,0.0951,3.739e-09
10,114742835,rs10128255,a,0.0948,4.238e-09
6,20679310,rs1569699,t,-0.0961,4.439e-09
3,123082398,rs11717195,t,0.1092,4.728e-09
3,185548662,rs720389,t,-0.0965,4.838e-09
3,185488882,rs75974105,a,0.1001,5.187e-09
10,114751986,rs58064715,a,0.2063,5.208e-09
10,12295339,rs11257622,t,-0.1353,5.797e-09
3,12396955,rs2881654,a,-0.1326,5.977e-09
10,114752674,rs149692182,t,0.2736,6.278e-09
3,12396845,rs4135250,a,0.1327,6.309e-09
9,22129579,rs112935422,t,-0.1401,6.474e-09
3,12391583,rs2197423,a,-0.1323,6.552e-09
3,12383265,rs13085211,a,-0.1325,6.639e-09
10,12276089,rs4397742,a,-0.1391,6.784e-09
3,12391207,rs6802898,t,-0.1318,6.997e-09
3,12388409,rs7610055,a,-0.1322,7.027e-09
3,12383714,rs7638903,a,-0.1322,7.089e-09
3,12395645,rs4684848,a,-0.1318,7.098e-09
3,12385828,rs11128603,a,0.1321,7.223e-09
3,12391813,rs7647481,a,-0.132,7.228e-09
3,12394840,rs1899951,t,-0.1316,7.426e-09
3,12392272,rs7649970,t,-0.1319,7.455e-09
3,12389313,rs17036326,a,0.1319,7.498e-09
11,2852529,rs234857,t,0.1021,7.6e-09
3,12393682,rs17036342,a,0.1318,7.711e-09
3,123070517,rs7613951,t,-0.1077,8.552e-09
3,123068744,rs11719201,t,-0.1074,9.11e-09
3,123070426,rs7614016,a,-0.1075,9.158e-09
6,20659806,rs6456368,t,-0.0978,9.244e-09
3,12390484,rs17036328,t,0.1309,9.277e-09
6,20641336,rs146535481,t,0.1074,9.912e-09
6,20718240,rs2328549,a,-0.1058,1.125e-08
6,20719393,rs9358358,a,-0.1059,1.164e-08
9,22137685,rs7018475,t,-0.0952,1.17e-08
3,123065778,rs11708067,a,0.1071,1.198e-08
6,20720279,rs9356746,t,-0.1058,1.219e-08
6,20645126,rs72830669,a,-0.1066,1.293e-08
2,227103717,rs2138157,a,-0.1025,1.399e-08
11,2852886,rs234859,t,0.1005,1.403e-08
10,94463779,rs146324166,t,-0.087,1.434e-08
6,20649254,rs6456364,a,-0.106,1.524e-08
10,12289775,rs2250266,a,0.132,1.527e-08
6,20725240,rs7767391,t,-0.1008,1.587e-08
10,94464307,rs10752161,t,-0.0869,1.615e-08
10,94462882,rs535095626,t,-0.0866,1.629e-08
6,20657865,rs4712524,a,-0.0962,1.637e-08
6,20723057,rs9368226,t,-0.1007,1.648e-08
6,20656800,rs4712522,c,-0.0961,1.73e-08
6,20658978,rs67077402,a,-0.0961,1.743e-08
10,94462427,rs10882101,t,0.0863,1.836e-08
10,94460281,rs11187138,a,0.0863,1.848e-08
6,20659587,rs554347707,a,0.0958,1.91e-08
10,94460650,rs10882099,t,0.0861,2.007e-08
10,12287402,rs10906106,c,0.1307,2.041e-08
10,12281632,rs7071305,a,0.0958,2.199e-08
6,20667382,rs9358356,t,-0.0958,2.21e-08
6,20661034,rs10946398,a,-0.0953,2.231e-08
6,20662217,rs35456723,t,-0.0954,2.234e-08
6,20660731,rs11759505,t,-0.0953,2.24e-08
6,20663035,rs143849826,a,0.0952,2.337e-08
6,20663632,rs9460546,t,-0.0951,2.387e-08
6,20664100,rs368911085,t,0.0951,2.403e-08
6,20666246,rs2206738,a,-0.0951,2.465e-08
11,2852328,rs143970873,t,-0.0996,2.54e-08
6,20666244,rs2206739,a,-0.095,2.59e-08
6,20653800,rs2876582,a,-0.1041,2.704e-08
11,2844048,rs233450,a,0.0982,2.72e-08
6,20665946,rs7772603,t,-0.0948,2.727e-08
2,227104111,rs2972140,t,-0.1051,2.817e-08
2,227095159,rs550241887,t,-0.1,2.836e-08
2,165508389,rs73013631,t,-0.0975,2.837e-08
6,20661842,rs2206740,t,-0.1038,2.962e-08
10,94450233,rs117662920,t,0.0952,3.041e-08
10,114757956,rs78025551,c,0.1454,3.141e-08
6,20665591,rs578005570,a,0.1031,3.446e-08
6,20665730,rs58048170,t,-0.1031,3.494e-08
3,123124513,rs71330995,a,-0.1031,3.638e-08
2,227093585,rs2943640,a,-0.104,3.687e-08
2,227095876,rs141263590,t,0.099,3.835e-08
10,12320571,rs6602570,a,0.1211,4.016e-08
2,227101411,rs2972144,a,-0.0989,4.189e-08
3,12413339,rs2120825,t,0.1238,4.502e-08
6,20706230,rs74892619,a,0.0915,4.523e-08
17,36103565,rs116856536,a,-0.0892,4.623e-08
11,2837625,rs233446,a,0.0973,4.651e-08
2,227099975,rs2943647,t,-0.0982,4.912e-08
2,227083411,rs1399627,a,-0.1032,5.011e-08
10,114750264,rs11196183,a,-0.1444,5.634e-08
6,20736186,rs9295479,t,0.1061,5.667e-08
3,23236109,rs555875344,t,-0.0978,5.931e-08
6,20724250,rs530052774,a,0.1025,6.031e-08
10,94460687,rs10882100,c,0.0843,6.526e-08
10,114750157,rs11196182,t,-0.1433,6.571e-08
7,15060410,rs7786873,a,-0.0824,6.754e-08
6,20716253,rs118154473,a,0.0902,6.855e-08
11,2843803,rs117565298,a,-0.0972,6.977e-08
17,36101586,rs8064454,a,0.0868,7.023e-08
3,123130684,rs10934647,t,-0.1009,7.037e-08
6,31267618,rs9380238,a,-0.105,7.273e-08
3,123129170,rs35606005,t,-0.1008,7.303e-08
6,20725097,rs150983983,a,0.1017,7.465e-08
8,118220270,rs11774700,t,0.0978,7.589e-08
6,20667799,rs9350270,a,-0.1001,9.041e-08
3,23261334,rs137974001,t,-0.1001,9.563e-08
3,23235571,rs77283079,a,0.0958,9.598e-08
3,123129946,rs11715633,a,-0.1,9.614e-08
6,20677310,rs11961863,t,0.1035,9.615e-08
17,36099840,rs7216163,t,-0.0842,1.005e-07
3,23235424,rs17012800,a,0.0956,1.025e-07
7,15060429,rs142841100,a,0.0824,1.026e-07
3,23233633,rs60782093,t,0.0957,1.032e-07
9,139245460,rs28378473,t,-0.106,1.08e-07
20,42967091,rs4812821,a,-0.1042,1.098e-07
6,20675295,rs1012635,a,0.0817,1.147e-07
20,42971378,rs183428527,c,0.1044,1.175e-07
6,20733108,rs72832309,t,-0.1026,1.202e-07
3,23225194,rs11927173,t,0.0954,1.219e-07
6,20652717,rs9295474,c,-0.0863,1.222e-07
3,23241009,rs1495130,c,0.0953,1.225e-07
2,227093745,rs2943641,t,-0.0941,1.299e-07
3,23642413,rs6787641,c,0.1197,1.308e-07
7,15063833,rs4725982,t,-0.0834,1.324e-07
2,227094758,rs2203452,a,-0.094,1.336e-07
2,227092802,rs2176040,a,-0.0939,1.351e-07
10,12328010,rs12779790,a,-0.1199,1.381e-07
3,23228993,rs79171797,a,0.0949,1.39e-07
20,42839990,rs3843762,t,-0.1016,1.396e-07
16,75234872,rs79833255,a,-0.3101,1.418e-07
10,114783775,rs114863326,t,0.1383,1.463e-07
3,123068817,rs11707746,t,0.0929,1.487e-07
10,114766717,rs7896811,t,-0.1374,1.522e-07
10,12246105,rs1320195,a,-0.096,1.529e-07
6,31191867,rs1639110,t,0.1088,1.549e-07
17,58308517,rs570707875,t,-0.6534,1.567e-07
3,23258614,rs577702204,a,-0.0982,1.569e-07
6,31205392,rs3130530,a,-0.1088,1.602e-07
6,31206979,rs2394895,t,-0.1087,1.645e-07
6,31206920,rs2394894,t,-0.1086,1.667e-07
11,2841365,rs148704516,a,-0.0959,1.706e-07
20,42847766,rs55691720,a,-0.0992,1.744e-07
20,42914481,rs4501013,t,-0.0991,1.831e-07
6,31210866,rs3134762,t,-0.1082,1.837e-07
6,20643752,rs2328531,a,0.0797,1.905e-07
6,31184524,rs3130514,c,-0.1073,1.918e-07
20,42947467,rs73613475,c,-0.1032,1.928e-07
6,31208881,rs80197567,a,0.108,1.928e-07
20,42964514,rs574247184,a,0.1022,1.945e-07
20,42914121,rs148367149,a,0.0989,1.974e-07
6,31218239,rs3130424,a,-0.108,1.981e-07
6,31176226,rs3132506,t,-0.1071,1.995e-07
6,20731524,rs7741604,a,-0.1004,2.086e-07
6,20642785,rs6925328,a,0.0793,2.217e-07
3,123054770,rs72964564,a,0.0976,2.277e-07
7,15058998,rs12538043,c,0.0823,2.28e-07
6,20641900,rs542490126,a,-0.0793,2.29e-07
2,227099534,rs530959450,a,-0.0921,2.321e-07
7,15059272,rs11514706,a,-0.0786,2.328e-07
10,114771843,rs57225583,a,0.1353,2.388e-07
6,20657564,rs4712523,a,-0.0861,2.395e-07
20,42916481,rs2868089,t,-0.0981,2.422e-07
11,92708710,rs10830963,c,-0.0831,2.495e-07
10,12303371,rs4747971,t,0.0835,2.655e-07
2,227101309,rs2972145,t,-0.0918,2.661e-07
9,139248082,rs28642213,a,-0.1063,2.709e-07
2,227100490,rs2943648,a,-0.0916,2.755e-07
6,31125978,rs720467,a,-0.112,2.778e-07
3,12459376,rs181456768,t,0.1204,2.839e-07
3,12459387,rs10048953,t,0.1204,2.843e-07
20,42841629,rs140038204,a,0.0972,2.956e-07
20,42954982,rs77410568,a,-0.1016,3.091e-07
20,42921407,rs35101355,c,-0.0988,3.094e-07
20,42921282,rs187641768,a,0.0988,3.099e-07
20,42924416,rs6084694,a,0.0988,3.101e-07
3,23315198,rs78097718,t,0.0914,3.103e-07
20,42845269,rs12624924,t,-0.0969,3.111e-07
2,165526338,rs13432797,t,0.0917,3.169e-07
6,20640537,rs9465851,a,-0.0784,3.214e-07
20,42843929,rs73106290,a,-0.0968,3.227e-07
20,42842363,rs6130569,a,0.0968,3.251e-07
20,42954397,rs111538225,a,0.1013,3.252e-07
2,165501849,rs3923113,a,0.0914,3.321e-07
20,42928606,rs531184402,t,0.0984,3.404e-07
2,165513091,rs10195252,t,0.0908,3.437e-07
20,42926014,rs562846738,a,0.0984,3.453e-07
20,42925576,rs36168717,c,-0.0984,3.46e-07
20,42846065,rs62204531,t,0.0965,3.517e-07
3,23454790,rs1496653,a,0.0908,3.545e-07
6,27989370,rs149978,t,0.0887,3.682e-07
2,165528624,rs370598612,t,-0.0912,3.767e-07
9,4283137,rs183603763,t,-0.0782,3.854e-07
6,31121945,rs3094662,a,-0.1107,3.886e-07
3,23328242,rs4327332,t,0.0905,3.895e-07
3,185475706,rs11925694,a,-0.0833,3.919e-07
20,42927703,rs35710941,a,-0.0979,3.936e-07
20,42914596,rs2093007,t,-0.0978,4.012e-07
3,185528571,rs554824402,a,0.1055,4.06e-07
10,12282461,rs7075724,a,0.0835,4.127e-07
2,165557318,rs566596164,t,-0.0923,4.242e-07
7,15063961,rs79225126,t,0.0794,4.378e-07
3,23564030,rs59708186,a,0.0995,4.416e-07
7,15064896,rs369192064,t,-0.0793,4.543e-07
3,23457080,rs13094957,t,0.0901,4.545e-07
3,23455582,rs35352848,t,0.09,4.682e-07
2,165508300,rs6713419,t,0.0898,4.703e-07
11,4897408,rs376324780,a,-1.1135,4.79e-07
6,27989174,rs149977,a,0.0878,4.804e-07
3,23291721,rs9867046,a,0.0897,4.805e-07
8,41523745,rs6989203,a,-0.0966,4.848e-07
8,41523358,rs9694034,a,0.0967,4.854e-07
6,31316699,rs28732137,a,0.1153,4.867e-07
7,15064984,rs2072411,a,0.0791,4.886e-07
17,36102381,rs11651052,a,0.0819,4.9e-07
8,41519462,rs515071,a,-0.0968,4.993e-07
7,15063430,rs567154098,a,-0.079,5.004e-07
7,15063923,rs10950550,t,0.079,5.113e-07
8,41528178,rs3802315,t,-0.0965,5.179e-07
8,41528228,rs3802316,c,-0.0965,5.181e-07
7,15063569,rs75118469,t,0.0787,5.337e-07
17,58403828,rs575771435,t,-0.5004,5.348e-07
8,41524688,rs35273426,t,-0.0964,5.373e-07
11,5392834,rs10768886,t,1.3696,5.393e-07
8,41524425,rs28591316,a,0.0963,5.439e-07
8,41524505,rs28602970,a,0.0963,5.452e-07
8,41524899,rs10109812,a,0.0961,5.658e-07
7,15063926,rs147969035,t,0.0785,5.731e-07
10,12280296,rs10906104,a,0.0824,5.747e-07
2,227020653,rs7578326,a,0.0917,5.785e-07
7,15064190,rs10228796,c,-0.0784,5.838e-07
7,15064216,rs10258074,a,-0.0784,5.849e-07
20,42906937,rs35767731,t,-0.0965,5.904e-07
6,31114855,rs1265071,a,-0.1082,6.274e-07
11,69454707,rs144245804,t,-0.1479,6.318e-07
10,12302357,rs117198263,t,0.0809,6.552e-07
9,4290541,rs538286384,a,0.0757,6.572e-07
7,15065074,rs6967891,t,-0.0784,6.593e-07
11,17409572,rs116392938,t,0.0777,6.675e-07
7,15065003,rs75648145,t,-0.0782,6.693e-07
9,4290823,rs7034200,a,-0.0757,6.723e-07
6,31242731,rs3132490,a,0.1141,6.888e-07
11,2837723,rs72878339,t,-0.091,6.952e-07
11,2207046,rs11564705,t,-0.105,7.083e-07
7,15062983,rs2215383,t,-0.0779,7.157e-07
8,41508577,rs13262861,a,-0.109,7.23e-07
6,31266090,rs17198867,a,0.1138,7.246e-07
11,2206651,rs72853921,t,-0.1049,7.26e-07
2,165602181,rs3769891,a,0.0926,7.295e-07
8,12652525,rs62488470,a,0.0901,7.302e-07
3,23269770,rs10510536,t,0.0884,7.343e-07
11,2206829,rs11564706,t,-0.1048,7.482e-07
7,15053307,rs73466540,a,0.0761,7.489e-07
2,227116365,rs2972143,a,-0.0851,7.585e-07
7,15054916,rs6980437,t,-0.0752,7.7e-07
11,2206387,rs11564707,c,-0.1046,7.738e-07
2,165544071,rs6753142,t,0.0901,7.763e-07
3,12385357,rs3963364,a,-0.1162,7.786e-07
11,17404839,rs77273626,a,-0.0771,7.852e-07
2,227062080,rs952227,a,-0.0899,8.037e-07
9,139241828,rs28533815,t,-0.0995,8.097e-07
10,12309139,rs11257657,c,-0.0792,8.168e-07
20,42904948,rs60409777,t,0.095,8.209e-07
7,15055616,rs45455308,a,-0.0764,8.227e-07
3,185454844,rs79844705,a,0.0808,8.27e-07
11,2210658,rs113945618,a,-0.1047,8.678e-07
6,20667688,rs62397621,t,0.0997,8.693e-07
2,213744121,rs192463148,a,-0.5141,8.773e-07
